,Index of Roll in AllRollsWildemount.csv,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
1361,10069,C2E86,02:25:47,Jester,Attack,22,14,,,,Handaxe against Caedogeist
1362,10070,C2E86,02:25:59,Jester,Damage,7,,,7 to Caedogeist,,
1363,10076,C2E86,02:31:53,Jester,Healing,27,,,Beau heals 27,,Beau is conscious
1364,10095,C2E86,02:53:02,Jester,Healing,6,,,Fjord heals 6,,Cure Wounds to Fjord
1365,10102,C2E86,03:42:26,Jester,Investigation ,21,20,,,,
1366,10108,C2E86,03:47:21,Jester,Other,22,,,,,Divine Intervention
1367,10110,C2E86,03:48:18,Jester,Strength ,9,6,,,,
1368,10112,C2E86,03:53:26,Jester,Investigation ,16,Unknown,,,,With Guidance
1369,10117,C2E86,04:00:19,Jester,Stealth ,15,11,,,,
1370,10127,C2E86,04:13:03,Jester,Initiative,10,6,,,,
1371,10142,C2E86,04:28:19,Jester,Wisdom ,7,2,,,,
1372,10169,C2E86,04:41:35,Jester,Wisdom Save,19,Unknown,,,,With Bless
1373,10170,C2E86,04:42:39,Jester,Attack,Unknown,Unknown,,,,disregarded due to advantage
1374,10171,C2E86,04:42:39,Jester,Attack,16,7,,,,Inflict Wounds against Obann
1375,10172,C2E86,04:42:39,Jester,Other,4,,,,,
1376,10173,C2E86,04:42:53,Jester,Damage,27,,,27 to Obann,,
1377,10174,C2E86,04:44:16,Jester,Acrobatics ,12,8,,,,
1378,10215,C2E087,00:12:18,Jester,Initiative,Nat1,1,,,,
1379,10243,C2E087,00:30:22,Jester,Constitution Save,Nat20,20,,,,Concentration
1380,10244,C2E087,00:33:30,Jester,Dexterity Save,Nat1,1,,7 to Jester,,
1381,10273,C2E087,00:54:09,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
1382,10274,C2E087,00:54:09,Jester,Spell Attack,Nat1,1,,,,Inflict Wounds (3rd) with disadvantage
1383,10300,C2E087,01:25:33,Jester,Healing,15,,,,,Cure Wounds (2nd); Beau heals 15 points
1384,10301,C2E087,01:26:09,Jester,Healing,11,,,,,Cure Wounds (1st); Jester heals 11 points
1385,10305,C2E087,01:38:11,Jester,Insight,14,9,,,,
1386,10312,C2E087,02:44:22,Jester,Persuasion,19,14,,,,
1387,10317,C2E087,03:11:15,Jester,Insight,7,2,,,,
1388,10328,C2E088,00:35:18,Jester,Hit Dice,83,,,,,
1389,10340,C2E088,02:00:05,Jester,Persuasion,Nat1,1,,,,Disregarded due to advantage
1390,10341,C2E088,02:00:05,Jester,Persuasion,19,14,,,,With advantage
1391,10352,C2E088,03:49:52,Jester,Persuasion,Nat1,1,,,,
1392,10357,C2E090,00:33:12,Jester,Performance,18,14,,,,
1393,10360,C2E090,01:03:25,Jester,Investigation,7,6,,,,
1394,10368,C2E090,01:45:11,Jester,Insight,8,3,,,,
1395,10380,C2E090,03:49:39,Jester,Performance,10,5,,,,
1396,10386,C2E091,01:32:12,Jester,Insight,18,13,,,,whisper on Essek
1397,10388,C2E091,02:46:04,Jester,Investigation,8,7,,,,
1398,10396,C2E092,01:00:40,Jester,Deception,7,2,,,,
1399,10400,C2E092,01:17:57,Jester,Sleight of Hand,19,11,,,,
1400,10401,C2E092,01:18:07,Jester,Other,1,,,,,Guidance
1401,10402,C2E092,02:11:53,Jester,Stealth,22,18,,,,
1402,10408,C2E092,02:34:32,Jester,Stealth,23,Unknown,,,,with Guidance
1403,10413,C2E092,02:40:10,Jester,Perception,7,2,,,,
1404,10417,C2E092,02:46:38,Jester,Deception,Unknown,Unknown,,,,disregarded due to advantage
1405,10418,C2E092,02:46:38,Jester,Deception,24,19,,,,
1406,10421,C2E092,03:38:56,Jester,Insight,23,18,,,,
1407,10429,C2E093,01:00:43,Jester,Perception,Unknown,Unknown,,,,
1408,10433,C2E093,01:09:55,Jester,Initiative,21,17,,,,
1409,10440,C2E093,01:16:11,Jester,Damage,18,,,,,Spirit Guardians
1410,10445,C2E093,01:16:49,Jester,Wisdom Save,Nat1,1,,,,Jester is frightened
1411,10451,C2E093,01:25:21,Jester,Damage,29,,,29 to GFH Matron,,Spirit Guardians
1412,10464,C2E093,01:32:54,Jester,Damage,26,,,"13 to GFH (x2), 26 to GFH (x2)",1.0,GFH dies
1413,10468,C2E093,01:41:16,Jester,Perception,Unknown,Unknown,,,,disregarded due to advantage
1414,10469,C2E093,01:41:16,Jester,Perception,25,Unknown,,,,with Guidance
1415,10475,C2E093,01:45:45,Jester,Dexterity Save,18,14,,7 Acid to Jester,,
1416,10486,C2E093,01:54:01,Jester,Constitution Save,19,16,,,,
1417,10496,C2E093,02:01:50,Jester,Constitution Save,20,16,,,,
1418,10512,C2E093,03:41:09,Jester,Persuasion,24,19,,,,
1419,10516,C2E094,00:22:19,Jester,Perception,17,12,,,,
1420,10517,C2E094,00:23:42,Jester,Survival,23,18,,,,
1421,10518,C2E094,00:23:50,Jester,Other,3,,,,,Guidance
1422,10520,C2E094,00:25:49,Jester,Strength,27,Unknown,,,,with Guidance
1423,10529,C2E094,00:32:14,Jester,Initiative,8,4,,,,
1424,10571,C2E094,01:08:48,Jester,Constitution Save,Unknown,Unknown,,,,disregarded due to advantage
1425,10572,C2E094,01:08:48,Jester,Constitution Save,19,16,,10 poison to Jester,,
1426,10573,C2E094,01:09:03,Jester,Other,1,,,,,Bless
1427,10574,C2E094,01:09:18,Jester,Constitution Save,Unknown,Unknown,,,,disregarded due to advantage
1428,10575,C2E094,01:09:18,Jester,Constitution Save,20,Unknown,,,,"with Bless, maintains concentration"
1429,10590,C2E094,01:12:58,Jester,Constitution Save,10,Unknown,,20 poison to Jester,,with Bless
1430,10591,C2E094,01:12:58,Jester,Constitution Save,Unknown,Unknown,,,,disregarded due to advantage
1431,10594,C2E094,01:13:16,Jester,Constitution Save,22,Unknown,,,,"with Bless, maintains concentration"
1432,10595,C2E094,01:13:16,Jester,Constitution Save,Unknown,Unknown,,,,disregarded due to advantage
1433,10614,C2E094,01:21:54,Jester,Constitution Save,12,Unknown,,8 poison to Jester,,with Bless
1434,10616,C2E094,01:22:15,Jester,Constitution Save,Unknown,Unknown,,8 poison to Jester,,with Bless
1435,10632,C2E094,01:28:16,Jester,Stealth,19,15,,,,
1436,10640,C2E094,02:05:20,Jester,Perception,Unknown,Unknown,,,,disregarded due to advantage
1437,10641,C2E094,02:02:20,Jester,Perception,25,Unknown,,,,with Guidance
1438,10687,C2E095,02:17:15,Jester,Initiative,6,2,,,,
1439,10705,C2E095,02:26:36,Jester,Dexterity Save,10,6,,14 acid to Jester,,Jester is restrained
1440,10709,C2E095,02:27:29,Jester,Dexterity Save,Unknown,Unknown,,,,disregarded due to advantage
1441,10710,C2E095,02:27:29,Jester,Dexterity Save,15,11,,7 acid to Jester,,
1442,10738,C2E095,02:47:39,Jester,Damage,13,,,13 to Silverfish (x3),,Spirit Guardians
1443,10740,C2E095,02:49:00,Jester,Dexterity Save,Unknown,Unknown,,,,disregarded due to disadvantage
1444,10741,C2E095,02:49:00,Jester,Dexterity Save,7,3,,,,
1445,10747,C2E095,02:50:06,Jester,Constitution Save,6,2,,,,Drops concentration
1446,10767,C2E095,03:03:37,Jester,Attack,26,16,,,,Gore (as mammoth) against Silverfish
1447,10769,C2E095,03:04:00,Jester,Damage,22,,,22 to Silverfish,1.0,Silverfish dies
1448,10783,C2E095,03:12:01,Jester,Strength,25,18,,,,(as mammoth)
1449,10784,C2E095,03:12:30,Jester,Attack,16,6,,,,Gore (as mammoth) against Silverfish
1450,10785,C2E095,03:12:50,Jester,Damage,26,,,26 to Silverfish,1.0,Silverfish dies
1451,10790,C2E095,03:16:58,Jester,Dexterity Save,Nat1,1,,,,
1452,10796,C2E095,03:21:06,Jester,Healing,21,,,,,Hit Dice
1453,10801,C2E095,03:25:18,Jester,Medicine,27,18,,,,
1454,10802,C2E095,03:25:18,Jester,Nature,12,11,,,,
1455,10803,C2E095,03:26:47,Jester,Medicine,20,11,,,,
1456,10804,C2E095,03:29:59,Jester,Investigation,Nat1,1,,,,
1457,10806,C2E095,03:32:05,Jester,Perception,17,Unknown,,,,with Guidance
1458,10811,C2E096,00:13:40,Jester,Initiative,17,13,,,,
1459,10821,C2E096,00:17:30,Jester,Spell Attack,29,20,,,,Guiding Bolt against Gorgon
1460,10822,C2E096,00:17:58,Jester,Damage,16,,,16 to Gorgon,,
1461,10834,C2E096,00:34:36,Jester,Athletics,Nat20,20,,,,
1462,10835,C2E096,00:36:04,Jester,Healing,8,,,Nott heals 8,,Healing Word
1463,10872,C2E096,00:55:07,Jester,Spell Attack,Unknown,Unknown,,,,disregarded due to advantage
1464,10873,C2E096,00:55:07,Jester,Spell Attack,23,14,,,,Inflict Wounds against Gorgon
1465,10874,C2E096,00:56:01,Jester,Damage,28,,,28 to Gorgon,,
1466,10890,C2E096,01:09:32,Jester,Damage,31,,,31 to Gorgon,,Toll the Dead against Gorgon
1467,10891,C2E096,01:10:10,Jester,Healing,13,,,Fjord heals 13,,"Healing Word, Fjord is conscious"
1468,10920,C2E096,01:37:07,Jester,Investigation,Unknown,Unknown,,,,disregarded due to advantage
1469,10921,C2E096,01:37:07,Jester,Investigation,19,18,,,,
1470,10923,C2E096,01:42:15,Jester,Medicine,Unknown,Unknown,,,,disregarded due to advantage
1471,10924,C2E096,01:42:15,Jester,Medicine,29,Unknown,,,,with Guidance
1472,10926,C2E096,01:51:22,Jester,Deception,17,12,,,,
1473,10932,C2E096,03:14:11,Jester,Investigation,10,Unknown,,,,with Guidance
1474,10936,C2E096,03:40:20,Jester,Medicine,Nat1,1,,,,disregarded due to advantage
1475,10937,C2E096,03:40:20,Jester,Medicine,25,Unknown,,,,with Guidance
1476,10942,C2E097,00:45:32,Jester,History,5,4,,,,
1477,10944,C2E097,00:47:26,Jester,Perception,8,3,,,,
1478,10946,C2E097,00:55:50,Jester,Insight,13,8,,,,
1479,10948,C2E097,02:53:49,Jester,Stealth,14,10,,,,
1480,10961,C2E097,04:05:02,Jester,Insight,Unknown,Unknown,,,,
1481,10962,C2E097,04:05:02,Jester,Insight,22,17,,,,
1482,10976,C2E098,03:20:10,Jester,Initiative,19,15,,,,
1483,10993,C2E098,03:34:40,Jester,Damage,32,,,32 to Sea Spawn (x2),,Blade Barrier
1484,10994,C2E098,03:40:54,Jester,Damage,29,,,29 to Deep Scion,,Blade Barrier
1485,10999,C2E098,03:41:44,Jester,Wisdom Save,19,10,,,,
1486,11004,C2E098,03:47:43,Jester,Spell Attack,19,10,,,,Spiritual Weapon
1487,11005,C2E098,03:48:00,Jester,Damage,11,,,11 to Deep Scion,,
1488,11018,C2E098,03:56:48,Jester,Damage,28,,,14 to Sea Spawn,,Blade Barrier
1489,11021,C2E098,04:03:43,Jester,Constitution Save,10,7,,,,
1490,11022,C2E098,04:04:11,Jester,Damage,14,,,7 to Deep Scion,,Hellish Rebuke
1491,11031,C2E098,04:11:40,Jester,Spell Attack,23,14,,,,Spiritual Weapon
1492,11032,C2E098,04:11:46,Jester,Damage,20,,,20 to Sea Spawn,1.0,Sea Spawn dies
1493,11033,C2E098,04:12:56,Jester,Spell Attack,13,4,,,,Guiding Bolt
1494,11034,C2E098,04:13:15,Jester,Damage,18,,,18 to Sea Spawn,1.0,Sea Spawn dies
1495,11057,C2E098,04:28:26,Jester,Wisdom Save,Unknown,Unknown,,,,disregarded due to advantage
1496,11058,C2E098,04:28:26,Jester,Wisdom Save,24,15,,,,
1497,11067,C2E098,04:36:10,Jester,Spell Attack,26,17,,,,Spiritual Weapon
1498,11068,C2E098,04:36:18,Jester,Damage,15,,,15 to Sea Spawn,1.0,Sea Spawn dies
1499,11081,C2E098,04:52:52,Jester,Spell Attack,22,13,,,,Spiritual Weapon
1500,11082,C2E098,04:52:57,Jester,Damage,9,,,9 to Deep Scion,,
1501,11083,C2E098,04:53:18,Jester,Spell Attack,25,16,,,,Guiding Bolt
1502,11084,C2E098,04:53:43,Jester,Damage,32,,,32 to Deep Scion,,
1503,11103,C2E098,05:03:01,Jester,Attack,19,10,,,,Handaxe
1504,11105,C2E098,05:03:24,Jester,Damage,14,,,14 to Deep Scion,,
1505,11109,C2E099,00:18:09,Jester,Wisdom,19,14,,,,
1506,11111,C2E099,00:19:14,Jester,Healing,11,,,,,Healing Word (2nd) Orly heals 11 points
1507,11116,C2E099,00:21:17,Jester,Wisdom Save,11,2,,,,Against Hold Person
1508,11121,C2E099,00:32:54,Jester,Medicine,Unknown,Unknown,,,,Disregarded due to advantage
1509,11122,C2E099,00:32:54,Jester,Medicine,25,16,,,,With advantage and with Guidance
1510,11123,C2E099,00:39:45,Jester,Perception,22,17,,,,
1511,11124,C2E099,00:43:20,Jester,Medicine,18,9,,,,
1512,11128,C2E099,01:26:46,Jester,Deception,23,18,,,,
1513,11138,C2E099,03:18:45,Jester,Persuasion,8,3,,,,
1514,11145,C2E100,00:16:56,Jester,History,12,11,,,,
1515,11146,C2E100,00:18:09,Jester,Other,95,,,,,Divine Intervention
1516,11160,C2E100,00:47:20,Jester,Spell Attack,28,19,,,,Guiding Bolt (5th)
1517,11161,C2E100,00:47:58,Jester,Damage,35,,,35 Radiant to Dragon Turtle,,
1518,11162,C2E100,00:54:47,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
1519,11163,C2E100,00:54:47,Jester,Spell Attack,28,19,,,,Guiding Bolt (4th) with advantage
1520,11164,C2E100,00:55:17,Jester,Damage,26,,,26 Radiant to Dragon Turtle,,
1521,11171,C2E100,01:16:21,Jester,Dexterity Save,20,16,,,,
1522,11176,C2E100,01:26:30,Jester,Healing,8,,,Balleater Hull heals 8 points,,2d12
1523,11178,C2E100,01:31:33,Jester,Healing,19,,,Balleater Hull heals 19 points,,2d12
1524,11181,C2E100,01:43:15,Jester,Persuasion,Nat1,1,,,,
1525,11182,C2E100,02:19:58,Jester,Perception,24,19,,,,
1526,11183,C2E100,02:23:52,Jester,Perception,11,6,,,,With Guidance
1527,11194,C2E100,03:18:25,Jester,Insight,21,16,,,,
1528,11197,C2E101,00:54:35,Jester,Investigation,18,17,,,,
1529,11215,C2E101,01:55:47,Jester,Deception,9,4,,,,
1530,11221,C2E101,02:46:02,Jester,Investigation,9,8,,,,
1531,11231,C2E101,03:00:42,Jester,Dexterity Save,16,12,,,,
1532,11237,C2E101,03:02:07,Jester,Strength,5,2,,,,
1533,11239,C2E101,03:03:05,Jester,Wisdom,18,13,,,,
1534,11244,C2E101,03:12:08,Jester,Persuasion,Unknown,Unknown,,,,disregarded due to advantage
1535,11245,C2E101,03:12:08,Jester,Persuasion,15,10,,,,
1536,11251,C2E101,03:14:17,Jester,Dexterity Save,15,11,,,,
1537,11255,C2E100,03:16:37,Jester,Strength,15,12,,,,
1538,11258,C2E101,03:17:25,Jester,Strength,Unknown,Unknown,,,,
1539,11259,C2E101,03:18:29,Jester,Healing,8,,,Caduceus heals 8,,
